bits,  st_snt,  st_st,  st_wnt,  st_wt, 
 32,  1870270080,  4215362946,  2675916928,  2347193604, 
 32, 0b01101111011110100000111010000000, 0b11111011010000010101010110000010, 0b10011111011111110100000010000000, 0b10001011111001110101010100000100, 
 31,  2000359630,  549280463,  1409798132,  454599935, 
 31, 0b1110111001110110001000011001110, 0b0100000101111010101101011001111, 0b1010100000001111100111111110100, 0b0011011000110001010010011111111, 
 30,  2359202,  850391056,  546826828,  65352013, 
 30, 0b000000001000111111111110100010, 0b110010101011111111000000010000, 0b100000100101111110101001001100, 0b000011111001010011000101001101, 
 29,  536834239,  117440489,  536845941,  359595903, 
 29, 0b11111111111110111000010111111, 0b00110111111111111111111101001, 0b11111111111111001111001110101, 0b10101011011101111111101111111, 
 28,  130990627,  47172364,  937950,  255097616, 
 28, 0b0111110011101100001000100011, 0b0010110011111100101100001100, 0b0000000011100100111111011110, 0b1111001101000111101100010000, 
 27,  48204610,  31674989,  12606207,  118316421, 
 27, 0b010110111111000101101000010, 0b001111000110101001001101101, 0b000110000000101101011111111, 0b111000011010101110110000101, 
 26,  63961055,  66732031,  67051391,  67105758, 
 26, 0b11110011111111011111011111, 0b11111110100011111111111111, 0b11111111110001111101111111, 0b11111111111111001111011110, 
 25,  16658679,  16972783,  16381400,  33454436, 
 25, 0b0111111100011000011110111, 0b1000000101111101111101111, 0b0111110011111010111011000, 0b1111111100111100101100100, 
 24,  5492775,  16587778,  1363719,  5043235, 
 24, 0b010100111101000000100111, 0b111111010001110000000010, 0b000101001100111100000111, 0b010011001111010000100011, 
 23,  7306863,  917499,  966655,  7405565, 
 23, 0b11011110111111001101111, 0b00011011111111111111011, 0b00011101011111111111111, 0b11100001111111111111101, 
 22,  4160512,  1862030,  986323,  1271431, 
 22, 0b1111110111110000000000, 0b0111000110100110001110, 0b0011110000110011010011, 0b0100110110011010000111, 
 21,  2072767,  122811,  1048332,  2042835, 
 21, 0b111111010000010111111, 0b000011101111110111011, 0b011111111111100001100, 0b111110010101111010011, 
 20,  943198,  500303,  569171,  592127, 
 20, 0b11100110010001011110, 0b01111010001001001111, 0b10001010111101010011, 0b10010000100011111111, 
 19,  462616,  319240,  11567,  21447, 
 19, 0b1110000111100011000, 0b1001101111100001000, 0b0000010110100101111, 0b0000101001111000111, 
 18,  92335,  193692,  179363,  132351, 
 18, 0b010110100010101111, 0b101111010010011100, 0b101011110010100011, 0b100000010011111111, 
 17,  45043,  64175,  53199,  117951, 
 17, 0b01010111111110011, 0b01111101010101111, 0b01100111111001111, 0b11100110010111111, 
 16,  63060,  63758,  62275,  65296, 
 16, 0b1111011001010100, 0b1111100100001110, 0b1111001101000011, 0b1111111100010000, 
 15,  7951,  15601,  21365,  12959, 
 15, 0b001111100001111, 0b011110011110001, 0b101001101110101, 0b011001010011111, 
 14,  7612,  5371,  9691,  7125, 
 14, 0b01110110111100, 0b01010011111011, 0b10010111011011, 0b01101111010101, 
 13,  8155,  7163,  6139,  5119, 
 13, 0b1111111011011, 0b1101111111011, 0b1011111111011, 0b1001111111111, 
 12,  1552,  2312,  2306,  1044, 
 12, 0b011000010000, 0b100100001000, 0b100100000010, 0b010000010100, 
 11,  1801,  1704,  677,  782, 
 11, 0b11100001001, 0b11010101000, 0b01010100101, 0b01100001110, 
 10,  490,  730,  250,  222, 
 10, 0b0111101010, 0b1011011010, 0b0011111010, 0b0011011110, 
 9,  440,  454,  214,  47, 
 9, 0b110111000, 0b111000110, 0b011010110, 0b000101111, 
 8,  83,  116,  163,  172, 
 8, 0b01010011, 0b01110100, 0b10100011, 0b10101100, 
 7,  125,  119,  126,  95, 
 7, 0b1111101, 0b1110111, 0b1111110, 0b1011111, 
 6,  2,  1,  8,  4, 
 6, 0b000010, 0b000001, 0b001000, 0b000100, 
 5,  29,  15,  30,  23, 
 5, 0b11101, 0b01111, 0b11110, 0b10111, 
 4,  2,  4,  8,  1, 
 4, 0b0010, 0b0100, 0b1000, 0b0001, 
